tickers
ZI
WMG
RPRX
ACI
VRM
LMND
BIGC
RKT
DCT
SNOW
FROG
IPOB
U
AVO
VITL
GDRX
SNE
MSFT
NTDOY
TCEHY
ATVI
EA
TTWO
ABNB
AI
DASH
CERT
UPST
WISH
NIO
TSLA
VWAGY
NKLA
XPEV
F
GM
QS
BP
MPC
XOM
CVX
RDS-A
PHG
CXO
COP
SMG
GRWG
CGC
CRON
ACB
APHA
TLRY
TSCO
POTX
CAG
CURLF
IIPR
CZR
MGM
DKNG
PENN
LVS
WYNN
MDT
ONEM
OSH
EHTH
LVGO
TDOC
AMWL
GDRX
GWPH
CVS
